
FOREST_NAME	WATERSHED_CODE	WATERSHED_NAME	WATERSHED_CONDITION_FS_AREA	TOTAL_WATERSHED_AREA_ACRES	FS_OWNERSHIP_PERCENT	NONFS_AREA_PERCENT	AQUATIC_BIOTA_CONDITION	RIPARIAN_WETLAND_VEG_CONDITION	WATER_QUALITY_CONDITION	WATER_QUANTITY_CONDITION	AQUATIC_HABITAT_CONDITION	ROADS_AND_TRAILS_CONDITION	SOIL_CONDITION	FIRE_EFFECTS_REGIME_CONDITION	FOREST_COVER_CONDITION	FOREST_HEALTH_CONDITION	INVASIVE_SPECIES_CONDITION	RANGELAND_VEGETATION_CONDITION	YEAR_PRIORITY_IDENTIFIED	PRINCIPAL_REASON	SELECTION_NARRATIVE	KNOWN_PARTNERS	APPROVAL_DATE	ESTIMATED_COMPLETION_DATE	ESSENTIAL_PROJECT_COUNT	ESSENTIAL_PROJECT_EST_COST	ACTUAL_COMPLETION_DATE	RESTORATION_ACTION_PLAN_IND
Rio Grande National Forest	130100050401	Rough Creek-Conejos River	Functioning at Risk	17897.9	88	13	Fair	Fair	Good	Poor	Good	Fair	Fair	Fair	Good	Good	Good	Fair	 	 	 	 	 	 	 	 	 	 
George Washington And Jefferson National Forests	020700050902	Pitt Spring Run-Cub Run	Functioning at Risk	9830.1	93	7	Good	Good	Fair	Good	Poor	Fair	Poor	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Umpqua National Forest	171003020304	Francis Creek-South Umpqua River	Functioning at Risk	12772.3	71	29	Good	Good	Poor	Good	Fair	Poor	Fair	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
National Forests In North Carolina	060101050202	Davidson River	Functioning at Risk	30181.4	89	11	Fair	Good	Good	Fair	Poor	Poor	Fair	Poor	Good	Fair	Fair	----	 	 	 	 	 	 	 	 	 	 
Payette National Forest	170501241001	Upper Mann Creek	Impaired Function	21665.7	97	3	Poor	Poor	Fair	Good	Poor	Poor	Poor	Good	Fair	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Lincoln National Forest	130600110901	Turkey Canyon	Functioning Properly	20318.6	95	5	Good	Good	Fair	Good	Good	Poor	Fair	Poor	Fair	Good	Fair	Poor	 	 	 	 	 	 	 	 	 	 
Helena National Forest	100301020401	Upper South Fork Dearborn River	Functioning Properly	13123.3	40	60	Fair	Good	Good	Good	Good	Poor	Good	Fair	Good	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	110200010906	Big Cottonwood Creek	Functioning Properly	15723.3	87	13	Poor	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Fair	 	 	 	 	 	 	 	 	 	 
Coronado National Forest	150400050605	Marijilda Wash	Functioning at Risk	14330.4	63	37	Good	Fair	Good	Poor	Fair	Fair	Good	Poor	Poor	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chattahoochee-Oconee National Forest	031300010103	Dukes Creek	Functioning Properly	14371.1	57	43	Fair	Good	Good	Good	Fair	Poor	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Shoshone National Forest	100800120302	Big Creek	Functioning Properly	16583.4	98	2	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Caribou-Targhee National Forest	160102010606	Big Canyon-Bear River	Functioning at Risk	19410.5	39	62	Good	Fair	Poor	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	 	 	 	 	 	 	 	 	 	 
Hoosier National Forest	051401041102	Otter Creek	Functioning at Risk	12093.2	21	79	Good	Good	Good	Good	Fair	Poor	Poor	Poor	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Sierra National Forest	180400060502	Lower Granite Creek	Functioning Properly	12026.8	99	1	Poor	Fair	Good	Good	Fair	Good	Good	Good	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	160102040308	Willow Creek-Bear River	Functioning Properly	39423.9	8	92	Good	Good	Poor	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Sierra National Forest	180400060602	Rube Creek-South Fork San Joaquin River	Functioning at Risk	26162.6	100	0	Poor	Fair	Good	Poor	Fair	Good	Good	Good	Good	Poor	Good	Fair	 	 	 	 	 	 	 	 	 	 
Medicine Bow-Routt National Forest	101800010104	Friends Draw-Buffalo Creek	Functioning at Risk	25438.6	30	70	Poor	Fair	Good	Good	Fair	Fair	Good	Fair	Poor	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Pike-San Isabel National Forest	101900010203	Spring Creek	Functioning Properly	10361.7	78	22	Poor	Fair	Good	Good	Poor	Fair	Good	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Chattahoochee-Oconee National Forest	031501010404	Chicken Creek	Functioning Properly	5322.5	20	80	Good	Good	Good	Good	Fair	Good	Fair	Poor	Good	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
National Forests In Texas	120401010204	Hostetter Creek-Conroe Lake	Functioning at Risk	39115.3	45	55	Poor	Good	Good	Fair	Fair	Good	Fair	Poor	Poor	Good	Fair	----	 	 	 	 	 	 	 	 	 	 
Manti-Lasal National Forest	140600090207	Upper Rock Canyon Creek	Functioning Properly	25859.9	59	41	Good	Good	Good	Good	Good	Poor	Fair	Good	Good	Good	Good	Good	 	 	 	 	 	 	 	 	 	 
Uinta-Wasatch-Cache National Forest	140401080101	West Muddy Creek	Functioning at Risk	26604.3	6	94	Fair	Fair	Good	Good	Good	Poor	Poor	Fair	Fair	Fair	Good	Good	 	 	 	 	 	 	 	 	 	 
Dixie National Forest	160300061304	Calf Springs Creek	Impaired Function	19457.5	90	10	Poor	Fair	Good	Poor	Poor	Poor	Fair	Poor	Good	Good	Poor	Fair	 	 	 	 	 	 	 	 	 	 
Rogue River-Siskiyou National Forests	171003110802	Klondike Creek	Functioning Properly	10040.2	100	0	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	----	 	 	 	 	 	 	 	 	 	 
Umatilla National Forest	170601070604	Cummings Creek	Functioning Properly	12727	68	32	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Maintain Condition</Value></Opportunity><Opportunity><Value>Leverage Forest Service Funds</Value></Opportunity></Opportunities></Principal_Reason>	The subwatershed is within a Regional priority watershed and is the focus of ongoing investments through the Legacy Road program and a variety of partnerships.	<Known_Partners><Partner><Name>Lower Snake Salmon Recovery </Name><Type>Known</Type></Partner><Partner><Name>Washington Department of Fish and Wildli</Name><Type>Known</Type></Partner></Known_Partners>	 	 	 	 	 	 
Manti-Lasal National Forest	140600090202	Lowry Water	Functioning at Risk	43944.4	97	3	Fair	Fair	Good	Fair	Fair	Poor	Good	Good	Poor	Good	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Riparian Structure and Function</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity></Opportunities></Principal_Reason>	See Left Fork Huntington Creek 140600090101. The key concerns and conditions affecting watershed condition affect only the Southern portion of the L.F. Huntington and the Northern portion of Lowry Water. This includes Reeder Canyon northward to the Miller Flat area. These two sub-watersheds contain both recreation and wetland corridors which are home to 50 percent of the wetlands existing on the Manti-La Sal NF and host some of the heaviest visitation found on the forest. Former State of Utah sections 16 and 32 in T15 South, R6 East contain many of these wetlands.  These sections became part of the National Forest System several years ago, but for decades they were used without restriction by visitors.  Several miles of user created roads and motorized trails in these sections are negatively impacting wetlands. The Lowry Water road (NFSR 50038) closely parallels Lowry Water Creek between Joes Valley and Potters Ponds and has three bridge crossings.  The northern two miles of this road is also directly impacting wetlands and the riparian area.  Both drainages provide water for culinary, industrial, and agricultural uses to Emery County. Collectively, these sub-watersheds have impaired ratings for habitat fragmentation, exotic and invasive species, loss of forest cover, mass wasting, and proximity to water. Fish are prevented from moving freely throughout the Left Fork of Huntington Creek aquatic ecosystem due to several reservoirs located in the Left Fork watershed.  There are little to no projects that could be undertaken to mitigate the impaired condition of habitat fragmentation. Exotic and invasive species within the Left Fork of Huntington Creek aquatic ecosystem is typified by the presence of whirling disease and non-native fish species.  Native fish populations are isolated and protected from exotic and invasive species by barriers. There are no additional projects that could reasonably be undertaken to mitigate this impaired condition.	 	9/30/2011	12/31/2015	 	 	 	Y
Arapaho-Roosevelt National Forest	140100010102	Upper Willow Creek	Functioning at Risk	37857.3	99	2	Poor	Good	Good	Good	Fair	Poor	Fair	Good	Poor	Fair	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity></Opportunities></Principal_Reason>	High road densities and proximity of roads to streams present opportunities to reduce sedimentation through road decommissioning.  Road/stream crossings present opportunities to improve aqautic organism passage.  Lodgepole pine mortality due to an ongoing mountain pine beetle epidemic provides opportunities for fuels reduction. Note that project costs may vary from $1,029,500 to $1,599,500.	<Known_Partners><Partner><Name>Rocky Mountail Elk Foundation</Name><Type>Known</Type></Partner></Known_Partners>	10/31/2011	9/30/2024	4	1599000	 	Y
Manti-Lasal National Forest	140802010301	Johnson Creek	Functioning at Risk	15547.7	80	20	Fair	Fair	Fair	Fair	Fair	Poor	Good	Poor	Fair	Fair	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity></Opportunities></Principal_Reason>	Johnson Creek watershed is a primary source of culinary water for Blanding City.  It is also a popular recreation area for the surrounding communities.  The developed Nizhoni Campground, the permitted Blue Mountain Boy Scout Camp, Dry Wash Reservoir, and the area’s proximity and easy access from Blanding make it a popular destination area for camping, motorized recreation, and other dispersed uses.	<Known_Partners><Partner><Name>Forest Resrouce Advisory Committee</Name><Type>Known</Type></Partner><Partner><Name>Utah Partners for Conservation and Devel</Name><Type>Known</Type></Partner><Partner><Name>Utah Division of Wildlife Resources</Name><Type>Known</Type></Partner><Partner><Name>National Wild Turkey Federation</Name><Type>Known</Type></Partner><Partner><Name>San Juan County Weed Management District</Name><Type>Known</Type></Partner></Known_Partners>	9/30/2011	12/31/2012	4	400000	 	Y
Payette National Forest	170501230303	Lower Kennally Creek	Impaired Function	19207.2	47	53	Poor	Poor	Fair	Good	Poor	Poor	Poor	Good	Poor	Good	Fair	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity></Opportunities></Principal_Reason>	• The Kennally Creek subwatershed is identified in the Forest Plan as a WARS active high priority watershed for restoration.  The Watershed and Aquatic Conservation Strategy (WARS) provides Forest Plan direction to maintain and restore characteristics of healthy, functioning watersheds, riparian areas, and associated fish habitats. Under section 303(d), Cascade Reservoir has been identified as a water-quality limited due to excessive phosphorus loading.  The major source of non-point source pollutants from the National Forest is sediment from roads which contains phosphates that carry adsorbed nutrients.	<Known_Partners><Partner><Name>Bureau of Reclamation</Name><Type>Known</Type></Partner><Partner><Name>City of McCall</Name><Type>Known</Type></Partner><Partner><Name>Valley Soil and Water Conservation Distr</Name><Type>Known</Type></Partner><Partner><Name>Natural Resources Conservation Service</Name><Type>Known</Type></Partner><Partner><Name>Idaho Soil Conservation Commission</Name><Type>Known</Type></Partner><Partner><Name>Idaho Department of Lands</Name><Type>Known</Type></Partner><Partner><Name>Idaho Department of Fish and Game</Name><Type>Known</Type></Partner><Partner><Name>City of Cascade</Name><Type>Known</Type></Partner><Partner><Name>Cascade Reservoir Association</Name><Type>Known</Type></Partner></Known_Partners>	9/30/2011	12/31/2013	1	213000	 	Y
Payette National Forest	170501240202	Gaylord Creek-Weiser River	Impaired Function	16554.7	76	24	Poor	Poor	Fair	Good	Poor	Poor	Poor	Good	Fair	Fair	Fair	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity></Opportunities></Principal_Reason>	See East Fork Weiser 170501240203.The Forest Service is analyzing proposed landscape restoration treatment activities in the 51,975 acre Mill Creek–Council Mountain Landscape Restoration Project area on the Council Ranger District of the Payette National Forest. The purpose of the proposed action is as follows:• To restore forest stands toward the Historical Range of Variability (HRV) as described in Appendix A of the Payette National Forest Land and Resource Management Plan and to improve habitat for wildlife species such as the white-headed woodpecker• To contribute to the economic vitality of the communities adjacent to the Forest• To reduce wildland fire hazard in forested stands for resource protection and reduce risk in the Wildland-Urban Interface (WUI).  • To improve recreational opportunities in the Project area.• Improve the Watershed Condition Class and enhance fish habitat for the ESA listed bull trout.The Preferred Alternative in the DEIS focuses on improving watershed conditions for bull trout in the upper portion of the East Fork Weiser River (EFWR) subwatershed. A total of 3.2 miles of the Dewey Creek Road (Forest Service Road 50487) and the Joker Creek Road (Forest Service Road 50486) would be decommissioned (obliterated) in a portion of their current locations. There would be 1.0 miles of temporary road construction and obliteration following use, 11.3 miles of unauthorized roads used for harvest and decommissioned (obliterated), 40.5 miles of unauthorized roads decommissioned (obliterated), a total of 14.9 miles of FS System road decommissioned and 22.6 miles of FS System road put into long-term closure.  The EFWR subwatershed is listed as an Aquatic Conservation Strategy (ACS) watershed in the 2003 Payette National Forest Land Management Plan, due to the presence of an isolated population of bull trout with objectives to reduce road related impacts to the population.	 	9/30/2011	12/31/2015	 	 	 	Y
Payette National Forest	170501240203	East Fork Weiser River	Impaired Function	20920.9	100	0	Poor	Poor	Good	Fair	Poor	Poor	Poor	Fair	Poor	Fair	Fair	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity></Opportunities></Principal_Reason>	The Forest Service is analyzing proposed landscape restoration treatment activities in the 51,975 acre Mill Creek–Council Mountain Landscape Restoration Project area on the Council Ranger District of the Payette National Forest. The purpose of the proposed action is as follows:• To restore forest stands toward the Historical Range of Variability (HRV) as described in Appendix A of the Payette National Forest Land and Resource Management Plan and to improve habitat for wildlife species such as the white-headed woodpecker• To contribute to the economic vitality of the communities adjacent to the Forest• To reduce wildland fire hazard in forested stands for resource protection and reduce risk in the Wildland-Urban Interface (WUI).  • To improve recreational opportunities in the Project area.• Improve the Watershed Condition Class and enhance fish habitat for the ESA listed bull trout.The Preferred Alternative in the DEIS focuses on improving watershed conditions for bull trout in the upper portion of the East Fork Weiser River (EFWR) subwatershed. A total of 3.2 miles of the Dewey Creek Road (Forest Service Road 50487) and the Joker Creek Road (Forest Service Road 50486) would be decommissioned (obliterated) in a portion of their current locations. There would be 1.0 miles of temporary road construction and obliteration following use, 11.3 miles of unauthorized roads used for harvest and decommissioned (obliterated), 40.5 miles of unauthorized roads decommissioned (obliterated), a total of 14.9 miles of FS System road decommissioned and 22.6 miles of FS System road put into long-term closure.  The EFWR subwatershed is listed as an Aquatic Conservation Strategy (ACS) watershed in the 2003 Payette National Forest Land Management Plan, due to the presence of an isolated population of bull trout with objectives to reduce road related impacts to the population.	<Known_Partners><Partner><Name>Payette Forest Coalition</Name><Type>Known</Type></Partner><Partner><Name>US Fish and Wildlife Service</Name><Type>Known</Type></Partner><Partner><Name>Rocky Mountain Elk Foundation</Name><Type>Known</Type></Partner></Known_Partners>	9/30/2011	12/31/2015	4	1326000	 	Y
Columbia River Gorge National Scenic Area	170800010801	Tanner Creek-Columbia River	Functioning Properly	29490.9	59	41	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Good	Good	Fair	----	2011	<Principal_Reason><Opportunities><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity><Opportunity><Value>Non-NFS Land Collaboration</Value></Opportunity></Opportunities><Cost>$1 million to $5 million</Cost></Principal_Reason>	The CRGNSA identified Tanner Creek/Columbia River Subwatershed as a priority due to the high percentage of National Forest ownership.  This is part of the Columbia Gorge Tributaries 5th field Focus Watershed.  There is a great opportunity to have multiple partnerships in this area.	<Known_Partners><Partner><Name>Lower Columbia Fisheries Enhancement Gro</Name><Type>Known</Type></Partner><Partner><Name>Lower Columbia River Estuary Partnership</Name><Type>Known</Type></Partner></Known_Partners>	9/30/2011	9/30/2019	4	2015000	 	Y
Ochoco National Forest	170703050501	Upper McKay Creek	Functioning at Risk	20471.1	93	7	Good	Fair	Poor	Good	Fair	Poor	Good	Fair	Good	Good	Good	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity><Opportunity><Value>Leverage Forest Service Funds</Value></Opportunity></Opportunities></Principal_Reason>	Upper McKay Creek Subwatershed as well as the rest of the watershed has been a priority for reintroduction of Mid-Columbia River steelhead trout and has had fish planted each year since 2008.  The Selective Water Withdrawal tower constructed in Lake Billy Chinook, built as a result of a FERC agreement with Portland General Electric and The Confederated Tribes of Warm Springs, provides fish passage for steelhead trout into the headwaters of McKay Creek, located on the Ochoco National Forest. 	 	10/28/2011	11/15/2017	4	18080621	 	Y
Tonto National Forest	150602030701	Camp Creek	Impaired Function	33280.5	92	8	Fair	Fair	Poor	Fair	Fair	Poor	Poor	Good	----	Fair	Poor	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Maintain Condition</Value></Opportunity></Opportunities></Principal_Reason>	Camp Creek is a perennial stream in the Sonoran desert that supports valuable aquatic and riparian habitat. The watershed is heavily impacted by OHV use and contains numerous unauthorized routes affecting watershed condition. A large number of the Forest Service system roads do not receive frequent maintenance and contribute to poor watershed conditions. Forest Service sensitive species include riparian dependent species (Common Blackhawk, Zone tail hawk, speckled dace) and upland species (Gila monster   and desert tortoise). Part of the watershed lies within a Bald Eagle closure. Unauthorized routes encroach into the closure area. Recreation residences have encroached into the channel and floodplain of Camp Creek and their septic systems are located in close proximity to the channel. Invasive plant species affect riparian areas and fuel loading in the uplands. 	<Known_Partners><Partner><Name>Boy Scouts of America</Name><Type>Known</Type></Partner><Partner><Name>Maricopa County</Name><Type>Known</Type></Partner><Partner><Name>Camp Creek Rec. Res. Homeowners</Name><Type>Known</Type></Partner><Partner><Name>OHV Ambassadors</Name><Type>Known</Type></Partner></Known_Partners>	9/30/2011	9/30/2016	10	1033500	 	Y
Bighorn National Forest	100800100103	Cedar Creek	Functioning at Risk	18338.2	100	0	Poor	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Invasive Species</Value></Concern></Concerns><Cost>$100,000 to $1 million</Cost></Principal_Reason>	Cedar Creek is a relativley remote watershed with high quality recreational characteristics.  Improvements may be achieved with relatively low cost projects.  This watershed is the priority for the Medicine Wheel/Paintrock district.	<Known_Partners><Partner><Name>Bighorn County Weed and Pest</Name><Type>Known</Type></Partner></Known_Partners>	 	 	 	 	 	 
Rogue River-Siskiyou National Forests	171003110202	Middle Sucker Creek	Functioning Properly	17591.2	80	20	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	2011	<Principal_Reason><Concerns><Concern><Value>Riparian Structure and Function</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity></Opportunities></Principal_Reason>	Key issues within this subwatershed are fine sediment in stream channels, high surface water temperature, and salmon habitat simplification.  SONNC coho salmon are present within the subwatershed and are listed as threatened under the Endangered Species Act.  There is high restoration potential within the subwatershed, partially a response to the strong partnerships that currently exist.  	<Known_Partners><Partner><Name>Illinois Valley Watershed Council</Name><Type>Known</Type></Partner><Partner><Name>Oregon Department of Fish and Wildlife</Name><Type>Known</Type></Partner><Partner><Name>Nature Conservancey</Name><Type>Known</Type></Partner><Partner><Name>Oregon DEQ</Name><Type>Known</Type></Partner></Known_Partners>	9/17/2011	12/31/2014	3	5845000	 	Y
Siuslaw National Forest	171002030209	Farmer Creek-Nestucca River	Functioning at Risk	18095.9	55	45	Fair	Fair	Good	Good	Poor	Poor	Good	Fair	Good	Good	Good	----	2011	 	Farmer Creek is a high value subwatershed within the Nestucca River Focus Watershed.  The Forest and its partners have been working in the Nestucca River watershed for years completing essential projects.  While we have completed many essential projects on National Forest lands, the Forest chose Farmer Creek as a Priority Subwatershed because of the excellent opportunities to work with partners on downstream private lands and address key fish access issues and work on high habitat potential private low lands in addition to completing essential projects on National Forest lands.  This subwatershed is a priority with established, high capacity watershed councils and a Stewardship group.	 	 	 	 	 	 	 
Idaho Panhandle National Forest	170103040304	Bruin Creek-St Joe River	Functioning at Risk	27521.2	100	0	Fair	Fair	Fair	Good	Fair	Poor	Good	Fair	Fair	Good	Fair	Good	2011	<Principal_Reason><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Socio-Economic Benefit</Value></Opportunity></Opportunities><Cost>&lt; $100,000</Cost></Principal_Reason>	Watershed is a stronghold for native fish habitat and populations.  Reducing road densities would improve water quality by reducing sediment inputs to streams and would reduce risk of future road or culver failures that could further impair the ecosystem.  NEPA covering watershed improvement work is complete (includes over 50 miles of road decommissioning and/or storage) which was done in conjunction with the Fallen Bear Project, incorporating timber, engineering, wildlife and fuels activities.  Planned watershed improvement work aligns with national and regional strategies and forest plan. Watershed is within the same 5th code HUC as future District priority watersheds (e.g. Gold Creek). High runoff and or flooding may cause road/culvert or bridge failure. Implementation of road work would create jobs for contractors. Watershed improvement work would be cost effective if done in conjunction with current timber sale contract work within the area.  On-the-ground accomplishments would be realized in FY12 and FY13.  The Bruin Creek watershed currently has a WCATT watershed condition rating of “FAR”.  By reducing road densities within the HUC the watershed condition rating would move closer to a “FP” condition.  If road densities are not reduced there would be a risk of the watershed condition moving to an “IF” condition if road failures were to occur increasing stream sedimentation and negatively impacting fish habitat.  Watershed is also located within the St. Joe Wild and Scenic River corridor.	 	11/3/2011	1/1/2015	1	309000	 	Y
Shoshone National Forest	100700060106	Clarks Fork Yellowstone River-Squaw Creek	Functioning at Risk	22727.5	96	4	Poor	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Species Habitat</Value></Concern><Concern><Value>Water Quality</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity></Opportunities></Principal_Reason>	Watershed was selected based upon three criteria. 1) NEPA cleared projects were being implemented or were ready to implement in 2011 that addressed indicators classified as 2 or 3. 2) Watershed was a yellow watershed. 3) Projects have potential to move watershed to green.	 	 	 	 	 	 	 
Shoshone National Forest	100800010104	Brooks Lake Creek	Functioning at Risk	23243.3	100	0	Fair	Fair	Fair	Good	Good	Poor	Good	Good	Good	Fair	Good	Good	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Species Habitat</Value></Concern></Concerns><Opportunities><Opportunity><Value>Larger-Scale Restoration</Value></Opportunity><Opportunity><Value>Improve Condition</Value></Opportunity></Opportunities></Principal_Reason>	Watershed was selected based upon three criteria. 1) NEPA cleared projects were being implemented or were ready to implement in 2011 that addressed indicators classified as 2 or 3. 2) Watershed was a yellow watershed. 3) projects have potential to move watershed to green.	 	9/29/2011	 	 	 	 	Y
Cibola National Forest	130202070206	Bluewater Lake-Bluewater Creek	Functioning at Risk	20009.9	76	24	Fair	Fair	Fair	Fair	Poor	Poor	Fair	Poor	Fair	Good	Good	Fair	2011	<Principal_Reason><Concerns><Concern><Value>Wildfire Risk</Value></Concern><Concern><Value>Water Quality</Value></Concern><Concern><Value>Riparian Structure and Function</Value></Concern></Concerns><Opportunities><Opportunity><Value>Improve Condition</Value></Opportunity><Opportunity><Value>Non-NFS Land Collaboration</Value></Opportunity><Opportunity><Value>Potential Partnership</Value></Opportunity></Opportunities></Principal_Reason>	The values, threats, and opportunities listed above make this the highest ranked priority watershed for the Cibola NF&G.  The watershed contains perennial impaired waters and 76% of the watershed is within Forest Service lands, allowing a large degree of potential improvement.  This watershed provides the best opportunity for significant improvement in FY2012.  There are several current NEPA projects that could be implemented quickly and these projects already have many partners lined up.  The large potential to decommission roads would allow the forest to use CMLG funding is association with the watershed improvements.	 	9/27/2011	 	12	 	 	Y
Midewin National Tallgrass Prairie	071200011808	Prairie Creek	Functioning at Risk	11680.6	79	22	Fair	Fair	Good	Fair	Poor	Fair	Fair	Poor	Fair	Fair	Poor	Poor	2011	<Principal_Reason><Concerns><Concern><Value>Other</Value></Concern><Concern><Value>Invasive Species</Value></Concern><Concern><Value>Wildfire Risk</Value></Concern></Concerns><Opportunities><Opportunity><Value>Potential Partnership</Value></Opportunity><Opportunity><Value>Leverage Forest Service Funds</Value></Opportunity><Opportunity><Value>Maintain Condition</Value></Opportunity></Opportunities></Principal_Reason>	Prairie Creek is 51% of existing National Forest System land on Midewin.  As a priority watershed, Midewin will be able to leverage funds with existing and future partners to accomplish needed watershed improvements. Vegetation improvement will also provide the opportunity to increase habitat for Threatened & Endangered species found in the area. This transitional watershed restoration action plan will be updated as more areas are ready for restoration activities. 	<Known_Partners><Partner><Name>National Forest Foundation</Name><Type>Known</Type></Partner></Known_Partners>	11/1/2011	12/31/2021	14	1784411	 	Y
